Name,LSFormula,RT,Calc Mass,Class,FA,FA Group Key,MainIon,,,
PC(10:1e_8:0),C26 H52 O7 N1 P1,3.049,521.3481,PC,10:1e_8:0,18:1e,#NAME?,,,
LPC(18:1),C26 H52 O7 N1 P1,3.053,521.3481,LPC,18:01,18:01,#NAME?,,,
PI(12:0e_20:4) +NH4,C41 H73 O12 N0 P1,3.058,788.484,PI,12:0e_20:4,32:4e,#REF!,,,
LPC(16:0),C24 H50 O7 N1 P1,3.1,495.3325,LPC,16:00,16:00,#NAME?,,,
LPC(18:2),C26 H50 O7 N1 P1,3.172,519.3325,LPC,18:02,18:02,#NAME?,,,
LPE(19:1),C24 H48 O7 N1 P1,3.176,493.3168,LPE,19:01,19:01,#NAME?,,,
LPC(17:0),C25 H52 O7 N1 P1,3.18,509.3481,LPC,17:00,17:00,#NAME?,,,
LPE(18:1),C23 H46 O7 N1 P1,3.18,479.3012,LPE,18:01,18:01,#NAME?,,,
LPE(16:0),C21 H44 O7 N1 P1,3.202,453.2855,LPE,16:00,16:00,#NAME?,,,
TG(8:0_10:1_11:4)+NH4,C32 H50 O6,3.222,530.3607,TG,8:0_10:1_11:4,29:05:00,#NAME?,,,
PC(8:0e_10:1),C26 H52 O7 N1 P1,3.245,521.3481,PC,8:0e_10:1,18:1e,#NAME?,,,
LPC(18:1),C26 H52 O7 N1 P1,3.253,521.3481,LPC,18:01,18:01,#NAME?,,,
LPC(16:0),C24 H50 O7 N1 P1,3.259,495.3325,LPC,16:00,16:00,#NAME?,,,
LPE(17:0),C22 H46 O7 N1 P1,3.305,467.3012,LPE,17:00,17:00,#NAME?,,,
LPC(17:0),C25 H52 O7 N1 P1,3.388,509.3481,LPC,17:00,17:00,#NAME?,,,
LPC(19:1),C27 H54 O7 N1 P1,3.388,535.3638,LPC,19:01,19:01,#NAME?,,,
LPC(18:0),C26 H54 O7 N1 P1,3.455,523.3638,LPC,18:00,18:00,#NAME?,,,
LPE(17:0),C22 H46 O7 N1 P1,3.513,467.3012,LPE,17:00,17:00,#NAME?,,,
LPC(19:1),C27 H54 O7 N1 P1,3.633,535.3638,LPC,19:01,19:01,#NAME?,,,
LPC(18:1),C26 H52 O7 N1 P1,3.647,521.3481,LPC,18:01,18:01,#NAME?,,,
LPE(16:1e),C21 H44 O6 N1 P1,3.649,437.2906,LPE,16:1e,16:1e,#NAME?,,,
PG(20:5_11:1) +NH4,C37 H61 O10 N0 P1,3.649,696.4002,PG,20:5_11:1,31:06:00,#REF!,,,
PC(12:1e_6:0),C26 H52 O7 N1 P1,3.657,521.3481,PC,12:1e_6:0,18:1e,#NAME?,,,
LPC(17:0),C25 H52 O7 N1 P1,3.673,509.3481,LPC,17:00,17:00,#NAME?,,,
LPE(16:0e),C21 H46 O6 N1 P1,3.749,439.3063,LPE,16:0e,16:0e,#NAME?,,,
LPE(17:0),C22 H46 O7 N1 P1,3.792,467.3012,LPE,17:00,17:00,#NAME?,,,
LPE(18:1),C23 H46 O7 N1 P1,3.796,479.3012,LPE,18:01,18:01,#NAME?,,,
LPC(18:0),C26 H54 O7 N1 P1,3.994,523.3638,LPC,18:00,18:00,#NAME?,,,
LPC(19:0),C27 H56 O7 N1 P1,4.01,537.3794,LPC,19:00,19:00,#NAME?,,,
PC(8:1e_10:0),C26 H52 O7 N1 P1,4.044,521.3481,PC,8:1e_10:0,18:1e,#NAME?,,,
PC(10:1e_10:0),C28 H56 O7 N1 P1,4.059,549.3794,PC,10:1e_10:0,20:1e,#NAME?,,,
LPC(20:1),C28 H56 O7 N1 P1,4.071,549.3794,LPC,20:01,20:01,#NAME?,,,
LPC(18:0),C26 H54 O7 N1 P1,4.138,523.3638,LPC,18:00,18:00,#NAME?,,,
LPE(18:0),C23 H48 O7 N1 P1,4.214,481.3168,LPE,18:00,18:00,#NAME?,,,
TG(6:0_8:0_8:0)+NH4,C25 H46 O6,4.273,442.3294,TG,6:0_8:0_8:0,22:00,#NAME?,,,
LPC(19:0),C27 H56 O7 N1 P1,4.292,537.3794,LPC,19:00,19:00,#NAME?,,,
DG(4:0_16:1),C23 H42 O5,4.369,398.3032,DG,4:0_16:1,20:01,#NAME?,,,
LPC(18:0e),C26 H56 O6 N1 P1,4.529,509.3845,LPC,18:0e,18:0e,#NAME?,,,
DG(4:0_18:2),C25 H44 O5,4.532,424.3189,DG,4:0_18:2,22:02,#NAME?,,,
LPE(18:1e),C23 H48 O6 N1 P1,4.536,465.3219,LPE,18:1e,18:1e,#NAME?,,,
TG(22:6_10:1_12:4) +NH4,C47 H68 O6,4.554,728.5016,TG,22:6_10:1_12:4,44:11:00,#REF!,,,
DG(18:3e_8:0) +NH4,C29 H52 O4,4.616,464.3866,DG,18:3e_8:0,26:3e,0,,,
LPE(18:0e),C23 H50 O6 N1 P1,4.619,467.3376,LPE,18:0e,18:0e,#NAME?,,,
TG(14:0e_6:0_22:3),C45 H82 O5,4.631,702.6162,TG,14:0e_6:0_22:3,42:3e,#NAME?,,,
TG(22:6_10:1_12:4) +NH4,C47 H68 O6,4.769,728.5016,TG,22:6_10:1_12:4,44:11:00,#REF!,,,
TG(4:0_6:0_12:1) +NH4,C25 H44 O6,4.794,440.3138,TG,4:0_6:0_12:1,22:01,#REF!,,,
TG(6:0_9:0_10:0) +NH4,C28 H52 O6,4.912,484.3764,TG,6:0_9:0_10:0,25:00:00,#REF!,,,
LPC(20:0),C28 H58 O7 N1 P1,5.003,551.3951,LPC,20:00,20:00,#NAME?,,,
TG(13:0_10:4_11:2) +NH4,C37 H58 O6,5.064,598.4233,TG,13:0_10:4_11:2,34:06:00,#REF!,,,
DG(4:0_18:1),C25 H46 O5,5.186,426.3345,DG,4:0_18:1,22:01,#NAME?,,,
TG(4:0_6:0_18:0) +NH4,C31 H58 O6,5.194,526.4233,TG,4:0_6:0_18:0,28:00:00,#NAME?,,,
